Rank,Team,Fouls per Match,Yellow Cards,Matches,Country
1,Getafe,17.1,126.0,38,ESP
2,Real Sociedad,15.9,98.0,38,ESP
3,Cadiz,15.2,106.0,38,ESP
4,Mallorca,14.9,102.0,38,ESP
5,Rayo Vallecano,14.8,101.0,38,ESP
6,Osasuna,13.6,76.0,38,ESP
7,Granada,13.5,96.0,38,ESP
8,Athletic Club,13.4,75.0,38,ESP
9,Villarreal,12.8,102.0,38,ESP
10,Deportivo Alaves,12.7,84.0,38,ESP
11,Valencia,12.7,60.0,38,ESP
12,Sevilla,12.6,108.0,38,ESP
13,Almeria,12.6,85.0,38,ESP
14,Celta Vigo,12.2,62.0,38,ESP
15,Atletico Madrid,11.5,82.0,38,ESP
16,Real Betis,11.3,85.0,38,ESP
17,Barcelona,10.8,85.0,38,ESP
18,Las Palmas,10.8,80.0,38,ESP
19,Girona,10.7,75.0,38,ESP
20,Real Madrid,9.7,67.0,38,ESP
