Rank,Player,Team,Clean Sheets,Goals Conceded,Minutes,Matches,Country
1,Unai Simon,Athletic Club,16.0,33.0,3184,36,ESP
2,Marc-Andre ter Stegen,Barcelona,15.0,27.0,2520,28,GER
3,Alex Remiro,Real Sociedad,15.0,36.0,3276,37,ESP
4,Giorgi Mamardashvili,Valencia CF,13.0,41.0,3285,37,GEO
5,Jan Oblak,Atlético de Madrid,13.0,43.0,3420,38,SVN
6,Stole Dimitrievski,Rayo Vallecano,13.0,47.0,3330,37,MKD
7,Paulo Gazzaniga,Girona,12.0,46.0,3420,38,ARG
8,Andriy Lunin,Real Madrid,10.0,17.0,1890,21,UKR
9,Antonio Sivera,Alavés,10.0,38.0,3060,34,ESP
10,David Soria,Getafe,10.0,52.0,3414,38,ESP
11,Rui Silva,Real Betis,9.0,36.0,2475,28,POR
12,Predrag Rajkovic,Mallorca,9.0,43.0,3240,36,SRB
13,Jeremias Ledesma,Cádiz,9.0,47.0,3049,34,ARG
13,Sergio Herrera,Osasuna,9.0,47.0,2870,32,ESP
15,Álvaro Vallés,Las Palmas,8.0,44.0,3264,37,ESP
16,Kepa Arrizabalaga,Real Madrid,7.0,9.0,1197,14,ESP
17,Ørjan Håskjold Nyland,Sevilla,6.0,27.0,2160,24,NOR
18,Vicente Guaita,Celta de Vigo,6.0,39.0,2402,27,ESP
19,Filip Jörgensen,Villarreal,6.0,63.0,3240,36,DEN
19,Luis Maximiano,Almería,6.0,63.0,2970,33,POR
21,Thibaut Courtois,Real Madrid,3.0,0.0,333,4,BEL
22,Augusto Batalla,Granada CF,3.0,28.0,1530,17,ARG
23,Francisco Vieites,Real Betis,2.0,4.0,315,4,ESP
24,Claudio Bravo,Real Betis,2.0,5.0,630,7,CHI
25,Inaki Pena,Barcelona,2.0,17.0,900,10,ESP
26,Marko Dmitrovic,Sevilla,2.0,25.0,1170,13,SRB
27,Dominik Greif,Mallorca,1.0,0.0,90,1,SVK
28,Julen Agirrezabala,Athletic Club,1.0,4.0,236,4,ESP
29,David Gil,Cádiz,1.0,8.0,371,5,ESP
29,Jesus Owono,Alavés,1.0,8.0,360,4,EQG
