Rank,Player,Team,Goals Conceded per 90,Total Goals Conceded,Minutes,Matches,Country
1,Luis Maximiano,Almería,1.9,63.0,2970,33,POR
2,Filip Jörgensen,Villarreal,1.8,63.0,3240,36,DEN
3,Sergio Herrera,Osasuna,1.5,47.0,2870,32,ESP
4,Vicente Guaita,Celta de Vigo,1.5,39.0,2402,27,ESP
5,David Soria,Getafe,1.4,52.0,3414,38,ESP
6,Jeremias Ledesma,Cádiz,1.4,47.0,3049,34,ARG
7,Stole Dimitrievski,Rayo Vallecano,1.3,47.0,3330,37,MKD
8,Rui Silva,Real Betis,1.3,36.0,2475,28,POR
9,Paulo Gazzaniga,Girona,1.2,46.0,3420,38,ARG
10,Álvaro Vallés,Las Palmas,1.2,44.0,3264,37,ESP
11,Predrag Rajkovic,Mallorca,1.2,43.0,3240,36,SRB
12,Jan Oblak,Atlético de Madrid,1.1,43.0,3420,38,SVN
13,Giorgi Mamardashvili,Valencia CF,1.1,41.0,3285,37,GEO
14,Antonio Sivera,Alavés,1.1,38.0,3060,34,ESP
15,Ørjan Håskjold Nyland,Sevilla,1.1,27.0,2160,24,NOR
16,Alex Remiro,Real Sociedad,1.0,36.0,3276,37,ESP
17,Marc-Andre ter Stegen,Barcelona,1.0,27.0,2520,28,GER
18,Unai Simon,Athletic Club,0.9,33.0,3184,36,ESP
19,Andriy Lunin,Real Madrid,0.8,17.0,1890,21,UKR
