Rank,Player,Team,Penalties Won,Fouls Won per 90,Minutes,Matches,Country
1,Hugo Duro,Valencia CF,3.0,2.9,2994,37,ESP
2,Nico Williams,Athletic Club,3.0,1.5,2280,31,ESP
3,Ante Budimir,Osasuna,3.0,1.0,2449,33,CRO
4,Kike Garcia,Alavés,2.0,2.3,1421,33,ESP
5,Lamine Yamal,Barcelona,2.0,2.1,2197,37,ESP
6,Savio,Girona,2.0,2.0,2989,37,BRA
7,Álvaro Morata,Atlético de Madrid,2.0,1.7,1909,32,ESP
7,Yan Couto,Girona,2.0,1.7,2245,34,BRA
9,Christopher Ramos,Cádiz,2.0,1.6,2627,37,ESP
10,Bertrand Traoré,Villarreal,1.0,3.3,569,11,BFA
10,Famara Diédhiou,Granada CF,1.0,3.3,82,8,SEN
10,Gonzalo Villar,Granada CF,1.0,3.3,1785,35,ESP
13,Étienne Capoue,Villarreal,1.0,2.6,1444,32,FRA
13,Oscar Trejo,Rayo Vallecano,1.0,2.6,1381,31,ARG
13,Yangel Herrera,Girona,1.0,2.6,2120,29,VEN
16,Marc Cardona,Las Palmas,1.0,2.4,724,26,ESP
16,Samuel Dias Lino,Atlético de Madrid,1.0,2.4,2087,34,BRA
18,Juanmi Latasa,Getafe,1.0,2.3,1553,32,ESP
18,Williot Swedberg,Celta de Vigo,1.0,2.3,434,15,SWE
20,Anthony Lozano,Almería,1.0,2.2,866,19,HON
20,Randy Nteka,Rayo Vallecano,1.0,2.2,563,16,ANG
22,Brais Méndez,Real Sociedad,1.0,2.1,2420,32,ESP
23,Alberto Mari,Valencia CF,1.0,2.0,264,16,ESP
23,Álex Baena,Villarreal,1.0,2.0,2599,34,ESP
23,Iago Aspas,Celta de Vigo,1.0,2.0,2715,35,ESP
26,Arda Güler,Real Madrid,1.0,1.9,373,10,TUR
27,Bryan Zaragoza,Granada CF,1.0,1.8,1640,21,ESP
27,Robert Lewandowski,Barcelona,1.0,1.8,2758,35,POL
27,Sandro Ramirez,Las Palmas,1.0,1.8,1819,27,ESP
30,Rodrygo,Real Madrid,1.0,1.7,2388,34,BRA
30,Thierry Correia,Valencia CF,1.0,1.7,2157,31,POR
32,Amath Ndiaye,Mallorca,1.0,1.6,388,15,SEN
32,Lucas Vázquez,Real Madrid,1.0,1.6,1410,29,ESP
32,Raphinha,Barcelona,1.0,1.6,1370,28,BRA
35,Antonio Puertas,Granada CF,1.0,1.5,720,27,ESP
35,Facundo Pellistri,Granada CF,1.0,1.5,1220,15,URU
35,Jørgen Strand Larsen,Celta de Vigo,1.0,1.5,2887,37,NOR
35,Mason Greenwood,Getafe,1.0,1.5,2667,33,ENG
35,Peter González,Valencia CF,1.0,1.5,646,15,DOM
35,Samuel Omorodion,Alavés,1.0,1.5,2003,35,ESP
41,Largie Ramazani,Almería,1.0,1.4,1560,29,BEL
42,Andoni Gorosabel,Alavés,1.0,1.3,2863,36,ESP
42,Borja Mayoral,Getafe,1.0,1.3,2162,27,ESP
42,Ilkay Gündogan,Barcelona,1.0,1.3,2997,36,GER
42,Johnny,Real Betis,1.0,1.3,1331,17,USA
42,Pablo Ibánez,Osasuna,1.0,1.3,1141,33,ESP
47,Ferran Torres,Barcelona,1.0,1.2,1204,29,ESP
48,Cristian Portu,Girona,1.0,1.1,1271,36,ESP
49,Diego Lopez,Valencia CF,1.0,1.0,2671,36,ESP
49,Toni Lato,Mallorca,1.0,1.0,1546,28,ESP
51,Alberto Moleiro,Las Palmas,1.0,0.9,1807,28,ESP
51,Ander Guevara,Alavés,1.0,0.9,2936,37,ESP
51,Eric Garcia,Girona,1.0,0.9,2697,32,ESP
51,Giuliano Simeone,Alavés,1.0,0.9,628,14,ARG
51,Gorka Guruzeta,Athletic Club,1.0,0.9,2240,32,ESP
56,Alberto Moreno,Villarreal,1.0,0.8,1490,27,ESP
56,Álvaro Garcia,Rayo Vallecano,1.0,0.8,2493,32,ESP
56,Mario Hermoso,Atlético de Madrid,1.0,0.8,2556,31,ESP
56,Unai Nunez,Celta de Vigo,1.0,0.8,2802,34,ESP
60,Alexander Sørloth,Villarreal,1.0,0.7,2491,34,NOR
61,Luis Rioja,Alavés,1.0,0.6,2511,37,ESP
62,Mariano Diaz,Sevilla,1.0,0.4,239,9,DOM
