Rank,Team,Clean Sheets,Matches,Country
1,Real Madrid,21.0,38,ESP
2,Athletic Club,18.0,38,ESP
3,Barcelona,17.0,38,ESP
4,Real Sociedad,15.0,38,ESP
5,Atletico Madrid,13.0,38,ESP
5,Rayo Vallecano,13.0,38,ESP
5,Real Betis,13.0,38,ESP
5,Valencia,13.0,38,ESP
9,Girona,12.0,38,ESP
10,Deportivo Alaves,11.0,38,ESP
11,Cadiz,10.0,38,ESP
11,Getafe,10.0,38,ESP
11,Mallorca,10.0,38,ESP
11,Osasuna,10.0,38,ESP
15,Las Palmas,8.0,38,ESP
15,Sevilla,8.0,38,ESP
17,Almeria,6.0,38,ESP
17,Celta Vigo,6.0,38,ESP
17,Villarreal,6.0,38,ESP
20,Granada,3.0,38,ESP
