Rank,Team,Possession Won Final 3rd per Match,Total Possessions Won,Matches,Country
1,Athletic Club,5.8,945.0,38,ESP
2,Real Madrid,4.7,781.0,38,ESP
3,Real Sociedad,4.6,856.0,38,ESP
4,Osasuna,4.6,852.0,38,ESP
5,Barcelona,4.5,811.0,38,ESP
6,Atletico Madrid,4.5,801.0,38,ESP
7,Getafe,4.4,854.0,38,ESP
8,Rayo Vallecano,4.4,829.0,38,ESP
9,Sevilla,4.2,782.0,38,ESP
10,Valencia,4.2,734.0,38,ESP
11,Las Palmas,4.1,817.0,38,ESP
12,Villarreal,4.0,711.0,38,ESP
13,Real Betis,3.9,833.0,38,ESP
14,Celta Vigo,3.9,807.0,38,ESP
15,Deportivo Alaves,3.9,804.0,38,ESP
16,Cadiz,3.6,791.0,38,ESP
17,Girona,3.6,746.0,38,ESP
18,Granada,3.6,720.0,38,ESP
19,Mallorca,3.3,836.0,38,ESP
20,Almeria,3.1,718.0,38,ESP
